EEID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Annual Salary,Country,City,Seniority,Tenure in Years,Total Compensation
E00935,Joseph Martin,Analyst II,Marketing,Corporate,Male,Black,41,64847,United States,Miami,Middle Adulthood,8.97260274,64847
E01525,Jose Ross,Engineering Manager,Engineering,Research & Development,Male,Caucasian,53,116878,United States,Miami,Middle Adulthood,33.42191781,129735
E00386,Parker James,Quality Engineer,Engineering,Speciality Products,Male,Black,45,70505,United States,Austin,Middle Adulthood,20.58356164,70505
E00416,Everleigh Fernandez,Director,Engineering,Research & Development,Female,Latino,30,189702,Brazil,Manaus,Young Adulthood,9.284931507,242819
E03383,Lincoln Hall,Director,Accounting,Speciality Products,Male,Caucasian,26,180664,United States,Chicago,Young Adulthood,5.098630137,229443
E01516,Willow Mai,Business Partner,Human Resources,Manufacturing,Female,Asian,45,48345,China,Chengdu,Middle Adulthood,21.72328767,48345
E01234,Jack Cheng,Director,Human Resources,Manufacturing,Male,Asian,42,152214,China,Beijing,Middle Adulthood,11.63287671,197878
E03440,Genesis Navarro,Cloud Infrastructure Architect,IT,Corporate,Female,Latino,41,69803,Brazil,Manaus,Middle Adulthood,16.35616438,69803
E00431,Eliza Hernandez,Network Architect,IT,Corporate,Female,Latino,48,76588,Brazil,Rio de Janerio,Middle Adulthood,6.167123288,76588
E01258,Gabriel Brooks,Network Engineer,IT,Manufacturing,Male,Caucasian,29,84596,United States,Miami,Young Adulthood,6.731506849,84596
E00440,Jack Huynh,Manager,Marketing,Research & Development,Male,Asian,27,114441,China,Chongqing,Young Adulthood,6.939726027,125885
E00595,Everly Chow,Sr. Manger,Finance,Speciality Products,Female,Asian,33,140402,China,Beijing,Young Adulthood,7.369863014,161462
E00972,Amelia Salazar,Analyst II,Finance,Corporate,Female,Latino,26,59817,Brazil,Sao Paulo,Young Adulthood,6.364383562,59817
E04562,Xavier Zheng,Account Representative,Sales,Manufacturing,Male,Asian,31,55854,United States,Austin,Young Adulthood,8.117808219,55854
E02802,Matthew Chau,Sr. Business Partner,Human Resources,Research & Development,Male,Asian,53,95998,United States,Seattle,Middle Adulthood,22.80821918,95998
E01427,Mia Cheng,Sr. Manger,Sales,Manufacturing,Female,Asian,34,154941,United States,Phoenix,Young Adulthood,10.36986301,175083
E04568,Rylee Yu,Vice President,Finance,Speciality Products,Female,Asian,54,247022,China,Beijing,Middle Adulthood,14.15616438,321129
E04931,Zoe Romero,Network Architect,IT,Manufacturing,Female,Latino,32,88072,Brazil,Sao Paulo,Young Adulthood,3.909589041,88072
E00443,Nolan Bui,Computer Systems Manager,IT,Research & Development,Male,Asian,28,67925,China,Shanghai,Young Adulthood,5.271232877,73359
E03890,Nevaeh Jones,Vice President,Sales,Manufacturing,Female,Caucasian,31,219693,United States,Austin,Young Adulthood,5.035616438,285601
E01194,Samantha Adams,Test Engineer,Engineering,Research & Development,Female,Caucasian,45,61773,United States,Seattle,Middle Adulthood,12.36986301,61773
E02875,Madeline Shin,Computer Systems Manager,IT,Speciality Products,Female,Asian,48,74546,United States,Seattle,Middle Adulthood,18.65753425,81255
E04959,Noah King,Development Engineer,Engineering,Speciality Products,Male,Black,56,62575,United States,Miami,Middle Adulthood,10.60273973,62575
E03816,Leilani Chow,Director,Human Resources,Corporate,Female,Asian,27,199041,China,Beijing,Young Adulthood,4.523287671,230888
E01261,Connor Simmons,Analyst II,Accounting,Speciality Products,Male,Caucasian,55,52310,United States,Miami,Middle Adulthood,18.42191781,52310
E03612,Grayson Cooper,Sr. Manger,Finance,Speciality Products,Male,Black,64,159571,United States,Columbus,Older Adulthood,12.18356164,175528
E01388,Ivy Soto,Field Engineer,Engineering,Research & Development,Female,Latino,50,91763,United States,Austin,Middle Adulthood,27.87671233,91763
E03875,Aurora Simmons,Development Engineer,Engineering,Corporate,Female,Caucasian,51,96475,United States,Austin,Middle Adulthood,29.71506849,96475
E04413,Andrew Thomas,Controls Engineer,Engineering,Manufacturing,Male,Caucasian,36,113781,United States,Columbus,Young Adulthood,8.753424658,113781
E00691,Ezekiel Desai,Director,Finance,Research & Development,Male,Asian,42,166599,United States,Seattle,Middle Adulthood,22.64383562,209915
E03047,Gabriella Gupta,Sr. Account Representative,Sales,Corporate,Female,Asian,41,95372,China,Shanghai,Middle Adulthood,20.55616438,95372
E04903,Skylar Liu,Director,IT,Research & Development,Female,Asian,29,161203,China,Chengdu,Young Adulthood,5.065753425,185383
E04735,Nova Coleman,System Administrator ,IT,Manufacturing,Female,Caucasian,44,74738,United States,Miami,Middle Adulthood,18.73150685,74738
E02850,Evelyn Dinh,Director,Sales,Research & Development,Female,Asian,41,171173,United States,Columbus,Middle Adulthood,7.065753425,207119
E03583,Brooks Marquez,Vice President,Sales,Corporate,Male,Latino,61,201464,United States,Chicago,Middle Adulthood,5.942465753,276006
E02017,Connor Joseph,Director,Human Resources,Corporate,Male,Caucasian,50,174895,United States,Chicago,Middle Adulthood,27.13150685,201129
E01642,Mia Lam,Sr. Manger,IT,Manufacturing,Female,Asian,49,134486,United States,Austin,Middle Adulthood,19.38630137,153314
E04379,Scarlett Rodriguez,Sr. Analyst,Finance,Manufacturing,Female,Latino,60,71699,Brazil,Manaus,Middle Adulthood,18.53150685,71699
E04131,Cora Rivera,Sr. Analyst,Marketing,Corporate,Female,Latino,42,94430,United States,Seattle,Middle Adulthood,4.665753425,94430
E02872,Liam Jung,Manager,Finance,Corporate,Male,Asian,39,103504,China,Chengdu,Middle Adulthood,15.64109589,110749
E02331,Sophia Huynh,Enterprise Architect,IT,Manufacturing,Female,Asian,55,92771,United States,Miami,Middle Adulthood,20.07671233,92771
E00417,Athena Carrillo,Analyst II,Finance,Speciality Products,Female,Latino,39,71531,United States,Columbus,Middle Adulthood,19.41917808,71531
E04267,Greyson Sanders,Cloud Infrastructure Architect,IT,Speciality Products,Male,Black,28,90304,United States,Chicago,Young Adulthood,6.495890411,90304
E03061,Vivian Lewis,Manager,Marketing,Manufacturing,Female,Caucasian,65,104903,United States,Columbus,Older Adulthood,13.99452055,115393
E00013,Elena Vang,Analyst,Finance,Corporate,Female,Asian,52,55859,China,Beijing,Middle Adulthood,6.536986301,55859
E04265,Natalia Diaz,Operations Engineer,Engineering,Corporate,Female,Latino,62,79785,United States,Austin,Middle Adulthood,18.90136986,79785
E04769,Mila Leung,Sr. Analyst,Marketing,Corporate,Female,Asian,39,99017,China,Beijing,Middle Adulthood,17.83561644,99017
E03042,Ava Nelson,Systems Analyst,IT,Manufacturing,Female,Caucasian,63,53809,United States,Phoenix,Middle Adulthood,33.44109589,53809
E00527,Mateo Chu,Field Engineer,Engineering,Speciality Products,Male,Asian,27,71864,China,Chengdu,Young Adulthood,5.380821918,71864
E01095,Isla Lai,Vice President,Finance,Corporate,Female,Asian,37,225558,China,Shanghai,Young Adulthood,13.74794521,299992
E03131,Ezekiel Reed,Sr. Manger,IT,Manufacturing,Male,Caucasian,37,128984,United States,Miami,Young Adulthood,11.52328767,144462
E01713,Nolan Guzman,Field Engineer,Engineering,Speciality Products,Male,Latino,46,96997,Brazil,Sao Paulo,Middle Adulthood,26.21917808,96997
E00128,Everleigh Espinoza,Director,Human Resources,Manufacturing,Female,Latino,54,176294,United States,Austin,Middle Adulthood,7.61369863,225656
E03849,Evelyn Jung,Analyst,Sales,Research & Development,Female,Asian,30,48340,China,Beijing,Young Adulthood,4.547945205,48340
E02464,Sophie Silva,Vice President,Engineering,Corporate,Female,Latino,28,240488,Brazil,Rio de Janerio,Young Adulthood,8.161643836,336683
E00306,Mateo Williams,Enterprise Architect,IT,Manufacturing,Male,Caucasian,40,97339,United States,Austin,Middle Adulthood,14.61917808,97339
E03737,Kennedy Rahman,Vice President,Human Resources,Manufacturing,Female,Asian,49,211291,China,Chongqing,Middle Adulthood,22.52328767,289469
E02783,Levi Mendez,Vice President,Sales,Research & Development,Male,Latino,39,249506,Brazil,Rio de Janerio,Middle Adulthood,14.03561644,324358
E02939,Julian Fong,Quality Engineer,Engineering,Speciality Products,Male,Asian,61,80950,China,Chongqing,Middle Adulthood,22.79178082,80950
E02706,Nevaeh Kang,Automation Engineer,Engineering,Research & Development,Female,Asian,46,86538,China,Chengdu,Middle Adulthood,4.643835616,86538
E00170,Hannah Nelson,Sr. Analyst,Marketing,Speciality Products,Female,Caucasian,35,70992,United States,Austin,Young Adulthood,5.989041096,70992
E01425,Anthony Rogers,Vice President,Engineering,Corporate,Male,Caucasian,33,205314,United States,Columbus,Young Adulthood,10.21369863,266908
E00130,Paisley Kang,Vice President,Human Resources,Corporate,Female,Asian,61,196951,China,Beijing,Middle Adulthood,8.484931507,261945
E02094,Matthew Gupta,Network Engineer,IT,Speciality Products,Male,Asian,45,67686,China,Beijing,Middle Adulthood,19.96712329,67686
E03567,Silas Chavez,Technical Architect,IT,Research & Development,Male,Latino,51,86431,United States,Columbus,Middle Adulthood,17.39178082,86431
E04682,Colton Thao,Manager,Human Resources,Manufacturing,Male,Asian,55,125936,China,Chongqing,Middle Adulthood,29.81369863,136011
E00957,Genesis Perry,Sr. Manger,Sales,Corporate,Female,Caucasian,46,149712,United States,Columbus,Middle Adulthood,12.13150685,170672
E04458,Alexander Bryant,Field Engineer,Engineering,Speciality Products,Male,Caucasian,30,88758,United States,Seattle,Young Adulthood,3.917808219,88758
E01499,Elias Zhang,Solutions Architect,IT,Research & Development,Male,Asian,54,83639,China,Beijing,Middle Adulthood,12.14520548,83639
E00521,Lily Carter,Network Architect,IT,Research & Development,Female,Caucasian,54,68268,United States,Phoenix,Middle Adulthood,27.30958904,68268
E03717,Joseph Ruiz,Field Engineer,Engineering,Manufacturing,Male,Latino,45,75819,Brazil,Sao Paulo,Middle Adulthood,23.52876712,75819
E01533,Avery Bailey,Sr. Analyst,Sales,Speciality Products,Female,Caucasian,49,86658,United States,Phoenix,Middle Adulthood,29.31780822,86658
E04449,Miles Hsu,Analyst II,Finance,Research & Development,Male,Asian,55,74552,China,Chengdu,Middle Adulthood,11.47123288,74552
E02855,Piper Cheng,Enterprise Architect,IT,Manufacturing,Female,Asian,62,82839,United States,Miami,Middle Adulthood,16.47671233,82839
E00816,Skylar Watson,Network Architect,IT,Speciality Products,Female,Caucasian,28,64475,United States,Phoenix,Young Adulthood,3.901369863,64475
E02283,Jaxon Park,Network Architect,IT,Manufacturing,Male,Asian,33,69453,China,Chengdu,Young Adulthood,5.109589041,69453
E04888,Elijah Henry,Manager,IT,Corporate,Male,Caucasian,32,127148,United States,Miami,Young Adulthood,11.66849315,139863
E03907,Camila Watson,Vice President,Finance,Speciality Products,Female,Caucasian,32,190253,United States,Austin,Young Adulthood,7.668493151,253036
E02166,Lucas Thomas,Manager,Accounting,Research & Development,Male,Caucasian,55,115798,United States,Miami,Middle Adulthood,25.36164384,121588
E00431,Skylar Doan,Sr. Business Partner,Human Resources,Research & Development,Female,Asian,58,93102,United States,Seattle,Middle Adulthood,31.05205479,93102
E01501,Hudson Liu,Engineering Manager,Engineering,Speciality Products,Male,Asian,34,110054,United States,Miami,Young Adulthood,7.797260274,126562
E01141,Gianna Williams,Quality Engineer,Engineering,Research & Development,Female,Black,27,95786,United States,Chicago,Young Adulthood,4.594520548,95786
E02254,Jaxson Sandoval,Sr. Analyst,Sales,Speciality Products,Male,Latino,61,90855,Brazil,Sao Paulo,Middle Adulthood,8.336986301,90855
E04504,Jameson Alvarado,Enterprise Architect,IT,Manufacturing,Male,Latino,47,92897,Brazil,Sao Paulo,Middle Adulthood,26.48767123,92897
E03394,Joseph Ly,Vice President,Marketing,Speciality Products,Male,Asian,40,242919,China,Chongqing,Middle Adulthood,16.51780822,318224
E02942,Daniel Richardson,Director,Engineering,Speciality Products,Male,Caucasian,30,184368,United States,Austin,Young Adulthood,7.290410959,237835
E04130,Elias Figueroa,Sr. Manger,Finance,Corporate,Male,Latino,45,144754,United States,Phoenix,Middle Adulthood,3.690410959,166467
E02848,Emma Brooks,Sr. Account Representative,Sales,Research & Development,Female,Caucasian,30,89458,United States,Austin,Young Adulthood,8.709589041,89458
E00085,Isla Wong,Vice President,Accounting,Corporate,Female,Asian,56,190815,United States,Austin,Middle Adulthood,11.47123288,267141
E03956,Everly Walker,Sr. Manger,Sales,Research & Development,Female,Caucasian,62,137995,United States,Austin,Middle Adulthood,26.10136986,157314
E00672,Mila Pena,Sr. Business Partner,Human Resources,Manufacturing,Female,Latino,45,93840,Brazil,Manaus,Middle Adulthood,17.70958904,93840
E04618,Mason Zhao,Technical Architect,IT,Research & Development,Male,Asian,46,94790,China,Chongqing,Middle Adulthood,3.852054795,94790
E03506,Jaxson Mai,Vice President,Human Resources,Research & Development,Male,Asian,48,197367,United States,Austin,Middle Adulthood,11.49315068,274340
E00568,Ava Garza,Director,Accounting,Manufacturing,Female,Latino,27,174097,United States,Phoenix,Young Adulthood,7.191780822,210657
E00535,Nathan Mendez,Manager,IT,Speciality Products,Male,Latino,53,120128,United States,Austin,Middle Adulthood,18.84931507,132141
E04630,Maria Griffin,Manager,Marketing,Manufacturing,Female,Caucasian,59,129708,United States,Miami,Middle Adulthood,18.36712329,136193
E00874,Alexander Choi,Manager,Marketing,Research & Development,Male,Asian,55,102270,United States,Chicago,Middle Adulthood,30.97534247,112497
E01546,Maria Hong,Vice President,Finance,Speciality Products,Female,Asian,43,249686,China,Chongqing,Middle Adulthood,20.10136986,327089
E00941,Sophie Ali,Analyst,Finance,Manufacturing,Female,Asian,55,50475,United States,Columbus,Middle Adulthood,23.44657534,50475
E03446,Julian Ross,Manager,Marketing,Research & Development,Male,Caucasian,51,100099,United States,Miami,Middle Adulthood,5.169863014,108107
E01361,Emma Hill,IT Coordinator,IT,Manufacturing,Female,Caucasian,54,41673,United States,Miami,Middle Adulthood,8.684931507,41673
E01631,Leilani Yee,Sr. Analyst,Marketing,Speciality Products,Female,Asian,47,70996,China,Chengdu,Middle Adulthood,8.145205479,70996
E03719,Jack Brown,Analyst,Marketing,Corporate,Male,Caucasian,55,40752,United States,Phoenix,Middle Adulthood,20.74794521,40752
E03269,Charlotte Chu,Network Engineer,IT,Manufacturing,Female,Asian,50,97537,China,Chengdu,Middle Adulthood,24.62191781,97537
E01037,Jeremiah Chu,IT Systems Architect,IT,Research & Development,Male,Asian,31,96567,China,Shanghai,Young Adulthood,4.97260274,96567
E00671,Miles Cho,Systems Analyst,IT,Speciality Products,Male,Asian,47,49404,China,Beijing,Middle Adulthood,26.49863014,49404
E02216,Caleb Marquez,IT Systems Architect,IT,Research & Development,Male,Latino,29,66819,Brazil,Rio de Janerio,Young Adulthood,5.884931507,66819
E02803,Eli Soto,Analyst,Marketing,Speciality Products,Male,Latino,38,50784,Brazil,Rio de Janerio,Young Adulthood,9.339726027,50784
E01584,Carter Mejia,Sr. Manger,Human Resources,Research & Development,Male,Latino,29,125828,Brazil,Sao Paulo,Young Adulthood,6.320547945,144702
E02489,Ethan Clark,Sr. Business Partner,Human Resources,Manufacturing,Male,Caucasian,33,92610,United States,Columbus,Young Adulthood,8.082191781,92610
E03189,Asher Jackson,Sr. Manger,Sales,Speciality Products,Male,Caucasian,50,123405,United States,Columbus,Middle Adulthood,22.45479452,139448
E03560,Ayla Ng,Account Representative,Sales,Manufacturing,Female,Asian,46,73004,China,Beijing,Middle Adulthood,21.46575342,73004
E00769,Jose Kang,Engineering Manager,Engineering,Corporate,Male,Asian,57,95061,China,Shanghai,Middle Adulthood,26.37260274,104567
E02791,Aubrey Romero,Director,Sales,Corporate,Female,Latino,49,160832,United States,Phoenix,Middle Adulthood,27.43561644,209082
E02333,Jaxson Wright,Service Desk Analyst,IT,Manufacturing,Male,Black,54,64417,United States,Columbus,Middle Adulthood,14.68767123,64417
E01002,Elias Ali,Manager,Sales,Corporate,Male,Asian,28,127543,China,Shanghai,Young Adulthood,4.457534247,135196
E03520,Nolan Pena,Analyst,Marketing,Manufacturing,Male,Latino,30,56154,Brazil,Sao Paulo,Young Adulthood,7.202739726,56154
E00752,Luna Liu,Vice President,Sales,Manufacturing,Female,Asian,36,218530,China,Shanghai,Young Adulthood,11.53150685,284089
E00233,Brooklyn Reyes,Service Desk Analyst,IT,Manufacturing,Female,Latino,36,91954,United States,Columbus,Young Adulthood,5.706849315,91954
E02639,Hadley Parker,Vice President,Marketing,Corporate,Female,Black,30,221217,United States,Columbus,Young Adulthood,8.950684932,292006
E00697,Jonathan Chavez,System Administrator ,IT,Manufacturing,Male,Latino,29,87536,United States,Seattle,Young Adulthood,8.315068493,87536
E02183,Sarah Ayala,Analyst,Sales,Corporate,Female,Latino,47,41429,United States,Seattle,Middle Adulthood,10.23835616,41429
E00715,Elijah Kang,Vice President,Engineering,Manufacturing,Male,Asian,35,245482,United States,Seattle,Young Adulthood,13.90410959,341220
E04288,Ella White,Development Engineer,Engineering,Manufacturing,Female,Caucasian,25,71359,United States,Phoenix,Young Adulthood,5.619178082,71359
