Date,Dispensed Pharmacy,Dispensed Region,Distribution Method,Order Priority,Ship Date,Distribution Costs,Number of Records,Order ID
1/9/2007,Sandra Flanagan,West,DTP,High,2/27/2007,0.99,1,"4,193"
1/9/2007,Sandra Flanagan,West,DTP,High,2/28/2007,8.99,1,"4,193"
1/9/2007,Luke Schmidt,South,DTP,Not Specified,3/1/2007,3.5,1,"30,083"
1/9/2007,Ruben Dartt,East,DTP,High,3/2/2007,19.99,1,"7,203"
1/10/2007,Mark Haberlin,West,DTP,Not Specified,3/3/2007,3.97,1,"31,715"
1/10/2007,Joni Blumstein,East,DTP,Not Specified,3/4/2007,6.89,1,"18,561"
1/10/2007,Mark Haberlin,West,DTP,Not Specified,3/5/2007,7.57,1,"31,715"
1/10/2007,Cynthia Voltz,South,Custom Order,High,3/6/2007,8.99,1,"8,576"
1/10/2007,Mark Haberlin,West,DTP,Not Specified,3/7/2007,0.97,1,"31,715"
1/10/2007,Yana Sorensen,West,DTP,Not Specified,3/8/2007,1.35,1,"58,343"
1/10/2007,Olvera Toch,West,DTP,Low,3/9/2007,2.4,1,"40,097"
1/10/2007,Benjamin Patterson,West,DTP,Low,3/10/2007,8.99,1,"47,138"
1/11/2007,Rob Haberlin,Central,DTP,Medium,3/11/2007,5.14,1,"33,988"
1/11/2007,Giulietta Dortch,South,DTP,High,3/12/2007,1.99,1,"28,999"
1/11/2007,Darren Powers,West,DTP,Critical,3/13/2007,3.97,1,"14,596"
1/11/2007,Ann Steele,West,DTP,Not Specified,3/14/2007,9.17,1,"44,391"
1/11/2007,Kristina Nunn,West,Wholesaler,Critical,3/15/2007,46.74,1,"55,367"
1/11/2007,Maria Bertelson,East,Custom Order,Low,3/16/2007,19.99,1,"28,290"
1/11/2007,Sean Wendt,East,DTP,Critical,3/17/2007,19.99,1,"31,553"
1/11/2007,Darren Powers,West,DTP,Critical,3/18/2007,0.96,1,"14,596"
1/11/2007,Kristina Nunn,West,DTP,Critical,3/19/2007,2.36,1,"55,367"
1/11/2007,Maria Bertelson,East,Custom Order,Low,3/20/2007,8.65,1,"28,290"
1/11/2007,Michelle Moray,South,DTP,Low,3/21/2007,8.55,1,"20,037"
1/11/2007,Michelle Moray,South,Wholesaler,Low,3/22/2007,14.7,1,"20,037"
1/12/2007,Bradley Drucker,West,DTP,Not Specified,3/23/2007,5.01,1,"33,797"
1/12/2007,Bradley Drucker,West,Wholesaler,Not Specified,3/24/2007,14.7,1,"33,797"
1/12/2007,Alan Barnes,Central,DTP,High,3/25/2007,1.99,1,"19,655"
1/12/2007,Bradley Drucker,West,DTP,Not Specified,3/26/2007,6.75,1,"33,797"
1/12/2007,Bradley Drucker,West,DTP,Not Specified,3/27/2007,14.37,1,"33,797"
1/12/2007,Bradley Drucker,West,Custom Order,Not Specified,3/28/2007,6.6,1,"33,797"
1/12/2007,Andy Gerbode,Central,Wholesaler,Low,3/29/2007,12.06,1,"21,830"
1/13/2007,Cindy Schnelling,South,DTP,Not Specified,3/30/2007,19.99,1,"20,549"
1/13/2007,Rick Reed,West,DTP,Critical,3/31/2007,1,1,"43,362"
1/13/2007,Liz Price,West,DTP,Medium,4/1/2007,6.5,1,"27,813"
1/13/2007,Greg Matthias,West,Wholesaler,Low,4/2/2007,39,1,"7,461"
1/13/2007,Guy Thornton,West,DTP,Not Specified,4/3/2007,3.99,1,"37,862"
1/13/2007,Rick Reed,West,Wholesaler,Critical,4/4/2007,30,1,"43,362"
1/13/2007,Greg Matthias,West,DTP,Low,4/5/2007,2.09,1,"7,461"
1/14/2007,Brian Stugart,East,DTP,Low,4/6/2007,5.09,1,"13,602"
1/14/2007,Michelle Huthwaite,West,DTP,Critical,4/7/2007,5.33,1,"51,623"
1/14/2007,Mike Gockenbach,Central,DTP,Low,4/8/2007,5.79,1,"25,541"
1/14/2007,Brian Stugart,East,Wholesaler,Low,4/9/2007,17.85,1,"13,602"
1/15/2007,Tamara Manning,South,DTP,Medium,4/10/2007,11.17,1,"43,911"
1/15/2007,Clytie Kelty,South,Wholesaler,Critical,4/11/2007,26.53,1,"34,691"
1/15/2007,Toby Swindell,South,Wholesaler,Not Specified,4/12/2007,68.02,1,"30,567"
1/15/2007,Toby Swindell,South,DTP,Not Specified,4/13/2007,20.93,1,"30,567"
1/15/2007,Tamara Manning,South,Wholesaler,Medium,4/14/2007,17.86,1,"43,911"
1/15/2007,Clytie Kelty,South,Custom Order,Critical,4/15/2007,9.54,1,"34,691"
1/15/2007,Toby Swindell,South,Custom Order,Not Specified,4/16/2007,7.29,1,"30,567"
1/15/2007,Clytie Kelty,South,DTP,Critical,4/17/2007,9.23,1,"34,691"
1/15/2007,Jennifer Patt,South,Wholesaler,Critical,4/18/2007,56.14,1,"8,325"
1/15/2007,Tamara Manning,South,Wholesaler,Medium,4/19/2007,58.95,1,"43,911"
1/15/2007,Jennifer Patt,South,DTP,Critical,4/20/2007,0.94,1,"8,325"
1/16/2007,Giulietta Weimer,West,DTP,Not Specified,4/21/2007,6.19,1,"37,729"
1/16/2007,Jennifer Jackson,East,Custom Order,High,4/22/2007,7.96,1,"12,676"
1/16/2007,Amy Hunt,Central,DTP,Critical,4/23/2007,0.7,1,"22,243"
1/16/2007,Amy Cox,West,DTP,Medium,4/24/2007,2.17,1,"48,773"
1/16/2007,Skye Norling,East,DTP,Low,4/25/2007,5.77,1,"6,884"
1/17/2007,Xylona Price,West,Custom Order,Low,4/26/2007,2.03,1,"30,915"
1/17/2007,Joe Elijah,Central,DTP,Medium,4/27/2007,5.5,1,"49,541"
1/17/2007,Sylvia Foulston,East,DTP,Medium,4/28/2007,9.24,1,"31,781"
1/17/2007,Jason Klamczynski,Central,DTP,Critical,4/29/2007,0.78,1,"39,173"
1/17/2007,Sanjit Jacobs,West,DTP,Critical,4/30/2007,2.87,1,"2,370"
1/17/2007,Sanjit Jacobs,West,DTP,Critical,5/1/2007,13.99,1,"2,370"
1/17/2007,Jason Klamczynski,Central,Wholesaler,Critical,5/2/2007,29.21,1,"39,173"
1/17/2007,Christina Anderson,Central,DTP,Low,5/3/2007,8.99,1,"22,147"
1/17/2007,Xylona Price,West,DTP,Low,5/4/2007,8.99,1,"30,915"
1/18/2007,Carlos Soltero,Central,DTP,Critical,5/5/2007,19.99,1,"12,771"
1/18/2007,Katherine Ducich,West,DTP,Medium,5/6/2007,8.18,1,"10,272"
1/18/2007,Paul Prost,South,DTP,Medium,5/7/2007,2.36,1,"46,884"
1/18/2007,Randy Ferguson,South,DTP,Not Specified,5/8/2007,6.17,1,"32,868"
1/18/2007,Joel Eaton,East,Custom Order,Medium,5/9/2007,2.26,1,"43,620"
1/18/2007,Carlos Soltero,Central,DTP,Critical,5/10/2007,1.57,1,"12,771"
1/18/2007,John Lee,Central,DTP,Medium,5/11/2007,1.99,1,"18,945"
1/18/2007,Paul Prost,South,DTP,Medium,5/12/2007,1.39,1,"46,884"
1/18/2007,Paul Prost,South,DTP,Medium,5/13/2007,2.5,1,"46,884"
1/18/2007,Katherine Ducich,West,DTP,Medium,5/14/2007,19.99,1,"10,272"
1/18/2007,Benjamin Venier,South,Wholesaler,Medium,5/15/2007,91.05,1,"1,921"
1/18/2007,Joel Eaton,East,DTP,Medium,5/16/2007,13.32,1,"43,620"
1/19/2007,Natalie Webber,Central,DTP,High,5/17/2007,1.49,1,"22,118"
1/19/2007,Kristen Hastings,East,DTP,Medium,5/18/2007,5.81,1,"58,784"
1/19/2007,Kristen Hastings,East,DTP,Medium,5/19/2007,23.5,1,"58,784"
1/19/2007,Kristen Hastings,East,Custom Order,Medium,5/20/2007,9.4,1,"58,784"
1/19/2007,Kristen Hastings,East,Wholesaler,Medium,5/21/2007,39,1,"58,784"
1/19/2007,Erica Bern,Central,DTP,Not Specified,5/22/2007,1.39,1,"48,199"
1/20/2007,Arthur Gainer,South,DTP,Low,5/23/2007,0.7,1,66
1/20/2007,Chris Cortes,South,Wholesaler,Critical,5/24/2007,56.14,1,"20,711"
1/20/2007,Chris Cortes,South,DTP,Critical,5/25/2007,9.03,1,"20,711"
1/20/2007,Stuart Calhoun,West,DTP,Critical,5/26/2007,0.99,1,"16,999"
1/21/2007,Tanja Norvell,West,DTP,Critical,5/27/2007,3.5,1,"38,340"
1/21/2007,Cynthia Arntzen,Central,Wholesaler,High,5/28/2007,53.48,1,"44,197"
1/22/2007,Harold Ryan,East,Custom Order,Critical,5/29/2007,1.99,1,"49,505"
1/22/2007,Rob Haberlin,Central,DTP,Medium,5/30/2007,0.5,1,"38,021"
1/22/2007,Roy Phan,East,DTP,Medium,5/31/2007,4.71,1,"35,936"
1/22/2007,Roy Phan,East,DTP,Medium,6/1/2007,24.49,1,"35,936"
1/22/2007,Larry Tron,South,DTP,Not Specified,6/2/2007,8.68,1,"32,800"
1/22/2007,Rob Haberlin,Central,Wholesaler,Medium,6/3/2007,23.19,1,"38,021"
1/22/2007,Larry Tron,South,Wholesaler,Not Specified,6/4/2007,58.92,1,"32,800"
1/22/2007,Aaron Smayling,Central,DTP,Low,6/5/2007,6.89,1,"37,638"
1/22/2007,Rob Haberlin,Central,DTP,Medium,6/6/2007,1.49,1,"38,021"
1/22/2007,Harold Ryan,East,DTP,Critical,6/7/2007,4.71,1,"49,505"
1/22/2007,Larry Tron,South,DTP,Not Specified,6/8/2007,8.68,1,"32,800"
1/22/2007,Henry MacAllister,Central,Wholesaler,High,6/9/2007,45.51,1,"31,138"
1/22/2007,Thea Hudgings,Central,DTP,Low,6/10/2007,0.7,1,"52,608"
1/22/2007,Andrew Allen,Central,DTP,Low,6/11/2007,2.87,1,"58,759"
1/23/2007,Khloe Miller,East,DTP,Critical,6/12/2007,14.39,1,"28,225"
1/23/2007,Nathan Mautz,South,DTP,High,6/13/2007,9.73,1,"53,891"
1/23/2007,Nathan Mautz,South,Custom Order,High,6/14/2007,5.92,1,"53,891"
1/23/2007,Nathan Mautz,South,Custom Order,High,6/15/2007,39.61,1,"53,891"
1/23/2007,Amy Hunt,Central,DTP,Critical,6/16/2007,5.5,1,"7,815"
1/23/2007,Nathan Mautz,South,DTP,High,6/17/2007,19.99,1,"53,891"
1/23/2007,Russell Applegate,Central,Wholesaler,Medium,6/18/2007,29.1,1,"55,360"
1/23/2007,Russell Applegate,Central,DTP,Medium,6/19/2007,0.5,1,"55,360"
1/23/2007,Guy Phonely,West,DTP,Critical,6/20/2007,35,1,"28,225"
1/23/2007,Sally Matthias,East,Wholesaler,Low,6/21/2007,44.55,1,"13,636"
1/24/2007,Jocasta Rupert,Central,DTP,Not Specified,6/22/2007,8.37,1,"10,661"
1/24/2007,Jocasta Rupert,Central,DTP,Not Specified,6/23/2007,5.76,1,"10,661"
1/24/2007,Victoria Brennan,East,DTP,Medium,6/24/2007,12.14,1,"24,802"
1/25/2007,Cynthia Delaney,Central,DTP,High,6/25/2007,6.75,1,"19,234"
1/25/2007,Filia McAdams,West,Custom Order,Low,6/26/2007,24.49,1,"29,319"
1/25/2007,Filia McAdams,West,DTP,Low,6/27/2007,24.49,1,"29,319"
1/25/2007,Michael Dominguez,West,DTP,Medium,6/28/2007,6.96,1,"58,277"
1/25/2007,Debra Catini,West,DTP,Low,6/29/2007,0.99,1,"33,025"
1/26/2007,Giulietta Dortch,South,DTP,Critical,6/30/2007,4.08,1,"7,043"
1/26/2007,Laurel Beltran,South,DTP,Not Specified,7/1/2007,8.99,1,"12,869"
1/27/2007,Tanja Norvell,West,Custom Order,High,7/2/2007,13.99,1,"24,544"
1/27/2007,Gene Hale,West,DTP,High,7/3/2007,5,1,"20,422"
1/27/2007,Tanja Norvell,West,DTP,High,7/4/2007,35,1,"24,544"
1/27/2007,Tanja Norvell,West,Wholesaler,High,7/5/2007,14.36,1,"24,544"
1/27/2007,Stefanie Holloman,South,DTP,Medium,7/6/2007,7.12,1,"55,937"
1/27/2007,Gene Hale,West,DTP,High,7/7/2007,0.5,1,"20,422"
1/27/2007,Ken Brennan,West,DTP,Medium,7/8/2007,5.35,1,"17,186"
1/27/2007,Ken Brennan,West,DTP,Medium,7/9/2007,56.2,1,"17,186"
1/27/2007,Stefanie Holloman,South,Wholesaler,Medium,7/10/2007,85.63,1,"55,937"
1/28/2007,Sean O'Donnell,South,DTP,Critical,7/11/2007,0.7,1,"15,718"
1/28/2007,Michael Dominguez,West,DTP,Not Specified,7/12/2007,2.5,1,"11,686"
1/28/2007,Sean O'Donnell,South,DTP,Critical,7/13/2007,8.99,1,"15,718"
1/28/2007,Victor Price,South,DTP,Medium,7/14/2007,2.5,1,"10,530"
1/28/2007,Sean O'Donnell,South,DTP,Critical,7/15/2007,0.7,1,"15,718"
1/29/2007,Cari Sayre,West,Custom Order,Medium,7/16/2007,35,1,"17,155"
1/29/2007,Cari Sayre,West,Custom Order,Medium,7/17/2007,2,1,"17,155"
1/29/2007,Adam Hart,East,DTP,High,7/18/2007,14.3,1,"19,047"
1/29/2007,Adam Hart,East,DTP,High,7/19/2007,1.57,1,"19,047"
1/29/2007,Cindy Chapman,West,DTP,Low,7/20/2007,5.74,1,"8,868"
1/29/2007,Cindy Chapman,West,DTP,Low,7/21/2007,3.99,1,"8,868"
1/30/2007,Katherine Hughes,West,DTP,Critical,7/22/2007,4.9,1,"20,484"
1/30/2007,Liz MacKendrick,West,Wholesaler,Medium,7/23/2007,60.2,1,"20,480"
1/30/2007,Liz MacKendrick,West,DTP,Medium,7/24/2007,19.99,1,"20,480"
1/31/2007,Eugene Barchas,East,Custom Order,Critical,7/25/2007,8.99,1,"35,847"
1/31/2007,Clay Rozendal,East,DTP,Critical,7/26/2007,1.99,1,"5,316"
1/31/2007,Rick Reed,West,DTP,Low,7/27/2007,24.49,1,"21,383"
2/1/2007,Matt Abelman,East,DTP,Low,7/28/2007,0.5,1,"30,341"
2/1/2007,Matt Abelman,East,Wholesaler,Low,7/29/2007,30,1,"30,341"
2/1/2007,Dave Brooks,Central,Wholesaler,Not Specified,7/30/2007,69.64,1,"52,416"
2/1/2007,Art Foster,Central,DTP,Critical,7/31/2007,16.63,1,"18,595"
2/1/2007,Dave Brooks,Central,DTP,Not Specified,8/1/2007,5.83,1,"52,416"
2/1/2007,Maria Zettner,South,DTP,Not Specified,8/2/2007,1.6,1,"15,270"
2/1/2007,John Lee,Central,Custom Order,Low,8/3/2007,19.99,1,"40,101"
2/1/2007,Matt Abelman,East,DTP,Low,8/4/2007,0.8,1,"30,341"
2/2/2007,Marc Crier,Central,Wholesaler,Critical,8/5/2007,33.6,1,"30,053"
2/2/2007,Joy Smith,Central,DTP,Critical,8/6/2007,1.99,1,"32,676"
2/2/2007,Erica Bern,Central,DTP,Low,8/7/2007,0.5,1,"4,454"
2/3/2007,Darren Powers,West,DTP,Low,8/8/2007,0.7,1,"38,529"
2/3/2007,Bill Overfelt,West,DTP,Critical,8/9/2007,69,1,"19,493"
2/3/2007,Alejandro Grove,West,DTP,Not Specified,8/10/2007,7.96,1,"39,904"
2/3/2007,Erica Bern,Central,DTP,Not Specified,8/11/2007,6.13,1,"13,604"
2/3/2007,Alan Schoenberger,West,Wholesaler,High,8/12/2007,70.2,1,"55,713"
2/3/2007,Erica Bern,Central,DTP,Not Specified,8/13/2007,56.2,1,"13,604"
2/4/2007,Carol Darley,Central,DTP,Not Specified,8/14/2007,3.63,1,"21,222"
2/4/2007,Carol Darley,Central,DTP,Not Specified,8/15/2007,5,1,"21,222"
2/5/2007,Matt Abelman,East,Wholesaler,Low,8/16/2007,17.85,1,"41,988"
2/5/2007,Henia Zydlo,Central,DTP,Medium,8/17/2007,12.65,1,"14,400"
2/5/2007,Sonia Sunley,Central,DTP,Medium,8/18/2007,6.46,1,"14,627"
2/5/2007,Michael Grace,South,DTP,Medium,8/19/2007,11.15,1,"25,120"
2/5/2007,Christine Sundaresam,West,DTP,Medium,8/20/2007,1.99,1,"59,459"
2/5/2007,Henia Zydlo,Central,Wholesaler,Medium,8/21/2007,80.2,1,"14,400"
2/5/2007,Gene McClure,Central,DTP,Medium,8/22/2007,4.86,1,"35,776"
2/5/2007,Michael Grace,South,DTP,Medium,8/23/2007,0.5,1,"25,120"
2/5/2007,Michael Grace,South,DTP,Medium,8/24/2007,6.93,1,"25,120"
2/5/2007,Erica Bern,Central,DTP,Low,8/25/2007,4.82,1,"44,387"
2/5/2007,Matt Abelman,East,DTP,Low,8/26/2007,5.5,1,"41,988"
2/5/2007,Dean Katz,South,DTP,Low,8/27/2007,0.96,1,"17,636"
2/5/2007,Matt Abelman,East,Wholesaler,Low,8/28/2007,19.19,1,"41,988"
2/5/2007,Erica Bern,Central,Custom Order,Low,8/29/2007,1.99,1,"44,387"
2/6/2007,Mick Crebagga,Central,DTP,Critical,8/30/2007,1.77,1,"26,945"
2/6/2007,Anthony Johnson,East,Wholesaler,Critical,8/31/2007,23.19,1,"36,068"
2/6/2007,Robert Barroso,West,Wholesaler,Medium,9/1/2007,28.14,1,417
2/6/2007,Ricardo Block,South,DTP,Medium,9/2/2007,12.52,1,"35,200"
2/6/2007,Robert Barroso,West,DTP,Medium,9/3/2007,19.99,1,417
2/6/2007,Christina Vanderzanden,West,DTP,Low,9/4/2007,1.01,1,"10,310"
2/6/2007,Christina Vanderzanden,West,DTP,Low,9/5/2007,3.99,1,"10,310"
2/7/2007,Kelly Andreada,South,Wholesaler,High,9/6/2007,66.67,1,"25,440"
2/7/2007,Nick Zandusky,South,DTP,High,9/7/2007,69,1,"28,772"
2/7/2007,Nick Zandusky,South,Custom Order,High,9/8/2007,8.99,1,"28,772"
2/7/2007,Bobby Elias,South,DTP,Critical,9/9/2007,13.99,1,"26,724"
2/7/2007,Bill Donatelli,East,DTP,Low,9/10/2007,3.99,1,"41,543"
2/7/2007,Bill Donatelli,East,Wholesaler,Low,9/11/2007,30,1,"41,543"
2/8/2007,John Lee,Central,DTP,Medium,9/12/2007,9.47,1,"44,002"
2/8/2007,Robert Dilbeck,South,DTP,Medium,9/13/2007,2.99,1,"46,981"
2/8/2007,John Lee,Central,DTP,Medium,9/14/2007,5.66,1,"44,002"
2/8/2007,Ed Braxton,West,DTP,Low,9/15/2007,7.69,1,"23,808"
2/8/2007,Ed Braxton,West,DTP,Low,9/16/2007,8.68,1,"23,808"
2/9/2007,Bradley Nguyen,Central,Custom Order,Not Specified,9/17/2007,19.99,1,"3,138"
2/9/2007,Helen Wasserman,South,DTP,Medium,9/18/2007,15.09,1,"20,162"
2/9/2007,Max Engle,South,DTP,Medium,9/19/2007,8.99,1,"59,942"
2/9/2007,Grant Donatelli,Central,Custom Order,High,9/20/2007,13.99,1,"56,581"
2/10/2007,Christine Abelman,Central,Wholesaler,Low,9/21/2007,60.2,1,"40,128"
2/11/2007,Evan Bailliet,Central,DTP,Critical,9/22/2007,7.51,1,"31,078"
2/11/2007,Ionia McGrath,South,DTP,High,9/23/2007,5.01,1,"9,222"
2/11/2007,Edward Becker,West,DTP,Medium,9/24/2007,5.19,1,"41,604"
2/11/2007,Maribeth Schnelling,Central,DTP,Medium,9/25/2007,14.39,1,"44,325"
2/11/2007,Thais Sissman,Central,DTP,Low,9/26/2007,2.85,1,"52,258"
2/12/2007,Rick Wilson,West,Custom Order,High,9/27/2007,8.99,1,"14,983"
2/12/2007,George Ashbrook,East,DTP,Critical,9/28/2007,49,1,"45,414"
2/12/2007,Rick Wilson,West,DTP,High,9/29/2007,8.99,1,"14,983"
2/12/2007,Michael Moore,Central,Wholesaler,Critical,9/30/2007,50,1,"47,493"
2/12/2007,Nicole Brennan,West,Wholesaler,High,10/1/2007,14.7,1,"18,790"
2/13/2007,Cathy Armstrong,Central,DTP,Critical,10/2/2007,9.68,1,"42,339"
2/13/2007,David Smith,South,DTP,Low,10/3/2007,1.56,1,"14,823"
2/13/2007,Olvera Toch,West,DTP,Medium,10/4/2007,7.17,1,833
2/13/2007,Vivek Grady,West,DTP,Medium,10/5/2007,7.02,1,"57,856"
2/13/2007,Aaron Smayling,Central,DTP,High,10/6/2007,2.5,1,"59,104"
2/13/2007,Frank Hawley,Central,DTP,Not Specified,10/7/2007,11.87,1,"14,211"
2/13/2007,Aaron Smayling,Central,Custom Order,High,10/8/2007,7.27,1,"59,104"
2/13/2007,Aaron Smayling,Central,DTP,High,10/9/2007,1.58,1,"59,104"
2/13/2007,Frank Hawley,Central,DTP,Not Specified,10/10/2007,13.99,1,"14,211"
2/13/2007,Trudy Bell,South,DTP,Medium,10/11/2007,8.19,1,"52,227"
2/13/2007,David Smith,South,DTP,Low,10/12/2007,0.49,1,"14,823"
2/14/2007,Thais Sissman,Central,DTP,Medium,10/13/2007,5.47,1,"57,506"
2/14/2007,Sally Matthias,East,Wholesaler,High,10/14/2007,30.06,1,"16,612"
2/14/2007,Sally Matthias,East,DTP,High,10/15/2007,10.05,1,"16,612"
2/14/2007,Vicky Freymann,West,DTP,Critical,10/16/2007,11.54,1,"21,572"
2/14/2007,Lena Creighton,West,Wholesaler,Critical,10/17/2007,58.64,1,"54,055"
2/15/2007,Janet Lee,Central,DTP,High,10/18/2007,8.68,1,"14,913"
2/15/2007,Charles Crestani,South,Wholesaler,Not Specified,10/19/2007,59.24,1,"56,452"
2/15/2007,Joni Blumstein,East,DTP,Low,10/20/2007,12.23,1,"13,408"
2/15/2007,Nicole Brennan,West,Wholesaler,Critical,10/21/2007,40.19,1,"48,836"
2/16/2007,Mick Brown,West,DTP,Not Specified,10/22/2007,19.99,1,"33,095"
2/16/2007,Carlos Soltero,Central,Wholesaler,Critical,10/23/2007,75.23,1,"46,119"
2/16/2007,Carlos Soltero,Central,DTP,Critical,10/24/2007,2.74,1,"46,119"
2/16/2007,Mick Brown,West,DTP,Not Specified,10/25/2007,5.5,1,"33,095"
2/16/2007,Phillip Flathmann,Central,Custom Order,Low,10/26/2007,1.39,1,"34,498"
2/16/2007,Phillip Flathmann,Central,DTP,Low,10/27/2007,9.03,1,"34,498"
2/16/2007,Bill Eplett,South,DTP,Low,10/28/2007,9.45,1,"32,741"
2/17/2007,Erica Smith,Central,DTP,Medium,10/29/2007,1.39,1,"55,874"
2/17/2007,Erica Smith,Central,DTP,Medium,10/30/2007,6.05,1,"55,874"
2/17/2007,Erica Smith,Central,Custom Order,Medium,10/31/2007,4.62,1,"55,874"
2/17/2007,Sharelle Roach,South,DTP,Low,11/1/2007,6.97,1,"48,998"
2/17/2007,Edward Becker,West,DTP,Low,11/2/2007,24.49,1,"32,037"
2/17/2007,Edward Becker,West,DTP,Low,11/3/2007,6.19,1,"32,037"
2/18/2007,Frank Merwin,West,DTP,High,11/4/2007,2.99,1,"59,170"
